Accession	Samples	Title	Description
GSE131283	16	RNA-seq of different brain tissue areas of Trrap conditional knockout Mus musculus	The acetylation levels of histones and other proteins change during aging and have been linked to neurodegeneration. Here we show that deletion of the histone acetyltransferase (HAT) co-factor Trrap specifically impairs the function of the transcription factor Sp1, reduces its stability and causes a decrease in histone acetylation at Sp1 target genes. Modulation of Sp1 function by Trrap acts as a hub regulating multiple processes involved in neuron and neural stem cells function and maintenance including microtubule dynamics and the Wnt signaling pathway.
GSE131213	15	RNA-seq of murine primary adult stem cells of Trrap inducible knockout Mus musculus with and without 4-OHT treatment	The acetylation levels of histones and other proteins change during aging and have been linked to neurodegeneration. Here we show that deletion of the histone acetyltransferase (HAT) co-factor Trrap specifically impairs the function of the transcription factor Sp1, reduces its stability and causes a decrease in histone acetylation at Sp1 target genes. Modulation of Sp1 function by Trrap acts as a hub regulating multiple processes involved in neuron and neural stem cells function and maintenance including microtubule dynamics and the Wnt signaling pathway.
GSE160137	4	Single cell- Cluster-RNA seq and Spatial Transcriptomics from the trunk of mouse embryos of different genotypes (wild type, Pax2-GFP, Pax2-GFP; Gata3 knockout) and developmental stages (E8.75, E9.5, E11.5) [Spatial Transcriptomics]	To study cell heterogeneity and state transitions in the developing urinary tract we performed spatial transcriptomics from the trunk of E9.5 Pax2GFP mouse embryos using the 10X Genomics Visium Spatial Gene Expression protocol
GSE160136	5	Single cell- Cluster-RNA seq and Spatial Transcriptomics from the trunk of mouse embryos of different genotypes (wild type, Pax2-GFP, Pax2-GFP; Gata3 knockout) and developmental stages (E8.75, E9.5, E11.5) [single-cell RNA-seq]	To study cell heterogeneity and state transitions in the developing urinary tract we isolated renal cells (single cells or clusters) by Fluorescence-activated cell sorting (FACS) from the trunk of E8.75, E9.5 and E11.5  mouse embros and performed 10X Genomics single cell and Cluster RNA sequencing
GSE143806	4	Single cell- and Clumps-RNA seq from the trunk of E9.5 Pax2-GFP and Pax2-GFP; Gata3 knockout embryos	To study cell heterogeneity and state transitions in the developing urinary tract we isolated Pax2-GFP positive single cells or clumps of cells by Fluorescence-activated cell sorting (FACS) from the trunk of E9.5 Pax2-GFP BAC transgenic embryos and performed 10X Genomics single cell and Clumps RNA sequencing
GSE166731	2	LAMP2 Cardiomyopathy: The Consequences of Impaired Autophagy in the Mouse Heart	Bulk RNAseq analyses of wild type and Lamp 2 deficient mice, which model Danon disease.
GSE165392	6	RNA sequencing of Wild-Type MA-10 cells and STAR Knockout MA-10 cells	The purpose of this study was to identify differentially-expressed genes between WT MA-10 mouse tumor Leydig cells and MA-10 cells in which the steroidogenic acute regulatory protein (STAR) is knocked out.
GSE131500	7	RNA seq on tumors from two groups of mice myofibroblast-collagen1 knockout group and control group)	RNA sequencing analysis on tumor samples from two groups of mice (1) KPPF;Col1smaKO myfibroblast-collagen1 knockout group and (2) KPPF control group. Collagen1 is the most abundant extracellular matrix protein component in desmoplastic pancreatic tumors. In this study, we establish the transgenic mouse model KPPF;Col1smaKO mice with pancreatic tumors deleted for myofibroblast-derived collagen1. Then we use RNA-seq to examine the global changes of gene expression profile in tumors of KPPF;Col1smaKO mice (as compared to control KPPF mice).
GSE161823	26	Transcriptomic analysis of Pot1a/b knockout in a native mouse model of glioma	Please see the cited publication below for further details. This study found that Pot1a/b knockout in a native mouse model of glioma confers sexual dimorphism of survival and discovered sex-dependent changes in telomere content as well as signatures of immune infiltration and cell cycle in these tumors.
GSE159737	15	Gene expression profiling of mouse MPN cells with or without STK11 knockout	We performed RNA-sequencing of mouse cells derived from colony forming assays (CFA) to evaluate the transcriptome of MPN cells with deletion of the tumor suppressor STK11/LKB1 and relative controls. The CFA are from mouse primary floxed STK11 hematopoietic stem and progenitor cells (HSPCs) transduced with retroviruses encoding the MPN mutation MPLW515L and CRE recombinase to delete STK11.
GSE137507	6	Transcriptomic profiling of wild-type C2C12 cells and C2C12 cells with Myod1 gene knockout by RNA-sequencing	C2C12 is a myoblast cell line usually used for study of muscle differentiation. Myod1 is a pro-differentiation factor for myogenesis. We found that CRISPR/Cas9-mediated Myod1 gene knockout in C2C12 cells led to the loss of myoblast identity and gain of neural properties.
GSE156201	4	Single cell transcriptomic data from MGE-derived interneurons purified from postnatal day 18-21 frontal cortex and hippocampus of wild type and MGE-specific GRIN1-knockout mice.	Medial ganglionic eminence (MGE)-derived parvalbumin (PV)+, somatostatin (SST)+ and Neurogliaform (NGFC)-type cortical and hippocampal interneurons, have distinct molecular, anatomical and physiological properties. However, the molecular mechanisms regulating their diversity remain poorly understood. Here, via single-cell transcriptomics, we show that the obligate NMDA-type glutamate receptor (NMDAR) subunit gene Grin1 mediates subtype-specific transcriptional regulation of gene expression in MGE-derived interneurons, leading to altered subtype identities.
GSE144750	11	SIX1 and SIX4 double knockout transcriptome profiling in 2D cell lines derived from murine pancreatic tumors	Pancreatic ductal adenocarcinoma is aggressive disease with a dismal five-year survival of 5%. Gene expression profiling has been instrumental for subtype classification in cancer, highlighting fundamental differences in tumors at the molecular level. Over the last years, multiple genomics studies have led to the classification of PDAC into two major subtypes: classical and basal-type. The classical subtype expresses higher levels of endodermal lineage specifiers, including HNF4A, GATA6, FOXA2, FOXA3 than the basal-type.
GSE164384	6	RNA-seq study on mouse bone marrow HSPC cells isolated from Arid2 conditional knockout and control mice.	We isolated lineage negative, cKit+, Sca1+ hematopoietic stem and progenitor cells from mouse bone marrow from Arid2fl/fl:MxCre+ (knockout) and MxCre+ (control) mice. Mice were injected with pIpC 6 weeks prior to isolation of LSK cells. Total RNA was isolated followed by mRNA selection. cDNA libraries were generated and NextGen Sequencing was performed.
GSE144210	12	Differentially expressed genes in Gdown1 knockout and Gdown1/p53 double-knockout mouse liver [RNA-seq]	To investigate the biological role of Gdown1, differentially expressed genes in Gdown1 knockout and p53/Gdown1 double-knockout mouse liver were analyzed by RNA-seq.
GSE141077	10	The hepatic transcriptome of liver-specific insulin receptor knockout (LIRKO) mouse offspring	At 2 months of age, liver-specific insulin receptor knockout (LIRKO) mice present hyperglycemia and hyperinsulinemia. Furthermore, LIRKO mice have increased levels of hepatic cholesterol. Indeed, many changes seen in cholesterol metabolism in LIRKO mice are also observed in humans with metabolic syndrome. For example, both show decreased levels of HDL and increased secretion of apoB and VLDL. These findings make the LIRKO mouse a unique non-dietary model of insulin resistant, hyperglycemia, dyslipidemia and atherosclerosis that resembles several clinical features of the human metabolic syndrome.
GSE164123	14	RNA-seq analysis of CARIP knockout mice	CARIP is a lncRNA highly expressed in mouse brain. In order to better understand functions of the lncRNA, we performed RNA-seq analysis on three types of brain tissues of CARIP-/- (KO) and wild type (WT) mice, and profiled differentially expressed genes between the two groups.
GSE132745	12	Single cell RNA-seq Analysis of Wild Type(WT), Dcaf11 knockout(KO) and Dcaf11 knockdown(KD) embryos	Telomeres play vital roles in ensuring chromosome stability and are thus closely linked with the onset of aging and human disease. Telomeres undergo extensive lengthening during early embryogenesis through the so-called alternative lengthening of telomere (ALT) mechanism. However, the detailed molecular mechanism of telomere resetting in early embryos remains unknown. Here, we showed that Dcaf11 participates in telomere elongation in early embryos and 2-cell-like embryonic stem cells (ESCs) in a telomerase-independent manner.
GSE133441	6	Transcriptomic analysis of hepatic genes in DEN-treated wildtype and Sesn3 knockout mice	RNA-seq was performed on mRNA samples purified from the liver of wildtype (WT) and Sesn3 knockout (KO) mice.
GSE125025	12	Shared roles for Scl and Lyl1 in murine platelet production and function	The Stem Cell Leukemia (Scl or Tal1) protein forms part of a multimeric transcription factor complex required for normal megakaryopoiesis. However, unlike other members of this complex such as Gata1, Fli1 and Runx1, mutations of Scl have not been observed as a cause of inherited thrombocytopenia. We postulated that functional redundancy with its closely related family member, Lymphoblastic Leukemia 1 (Lyl1) might explain this observation.
GSE163449	12	The differential gene expression of the dentate gyrus between WT and KO mice as well as between Fst knockout and overexpressing mice	we aim to find the possible pathway and mechanism whereby Fst mediates neurogenesis and spatial learning by utilising RNA-seq to identify differential hippocampal gene expression between WT and KO mice as well as between KO and Fst overexpression mice
GSE136079	10	RNA-seq analysis of Actn2 knockout in mouse cardiomyocytes	The goal of this study is to analyze the impact of Actn2 depletion on transcription during cardiomyocyte maturation in mouse
GSE139980	2	Gene expression profiles in the retina from RTBDN knockout mice versus wild type controls by RNA-seq	Retinas from RTBDN knockout mice versus wild type controls were used to prepare total RNA for RNA-sequencing.
GSE133019	24	Whole genome transcriptome of in vivo Treg cells and ex vivo TGF-beta induced Treg cells from WT and Aim2 knockout mice	To understand the whole genome transcriptome of in vivo Treg cells and ex vivo TGF-beta induced Treg cells from WT and Aim2 knockout mice, the total RNA was extracted from indicated Treg cells using the Direct-zol miniprep kit (Zymo Research, R2060). The RNA samples were firstly enriched by Oligo(dT) magnetic beads  and used to construct BGISEQ-500 libraries. RNA-seq libraries sequenced using the 50bp single-end protocol (in vivo isolated Treg cells) or 100bp paired-end protocol (TGF-β induced Treg cells) via the BGISEQ-500 sequencer per the manufacturer’s protocol.
GSE162502	12	Transcriptomic Profiling of Fetal Membranes of Mice Deficient in Biglycan and Decorin as a Model of Preterm Birth	Approximately 25% of all preterm births are due to preterm premature rupture of membranes. Mice deficient in proteoglycans biglycan (Bgn) and decorin (Dcn) display abnormal fetal membranes and increased incidence of preterm birth. We conducted RNA-Seq to profile fetal membranes and identify molecular pathways that may lead to preterm birth in double knockout (DKO) mice (Bgn −/−; Dcn −/− ) compared to wild-type (WT) at two different gestational stages, E12 and E18 (n=3 in each group).
GSE135875	24	Temporal profiles of hepatic gene expression in PAR bZip triple knockout mice	The circadian clock and rhythmic food intake are both important regulators of rhythmic gene expression in the liver. It remains, however, elusive to which extent the circadian clock network and natural feeding rhythms contribute to rhythmic gene expression. To systematically address this question, we developed an algorithm to investigate differential rhythmicity between a varying number of conditions.
GSE123309	8	Next Generation Sequencing (NGS) Facilitates Quantitative Analysis of Differentially Expressed Genes in Liver Regeneration After Combined Treatment With Ethanol And Carbon Tetrachloride	Purpose: The goals of this study are to use NGS-derived liver transcriptome profiling (RNA-seq) and identify differentially expressed genes in regenerating livers that were treated with ethanol and carbon tetrachloride. Methods: Liver mRNA profiles were generated from ethanol/CCl4-treated floxed homozytoes and Ctgf conditional knockout mice by deep sequencing, in duplicate, using Illumina GAIIx. qRT–PCR validation was performed using SYBR Green assay.
GSE158056	19	Knockout of immunotherapy prognostic marker genes eliminates the effect of the anti-PD-1 treatment	We present a pan-cancer integrated analysis of transcriptome, exome and clinical records of patients. Herein, we identified candidate genes as potential biomarkers to predict clinical outcome of immunotherapy. We further explored the function of two IPM genes in vivo. Knockout of MALT1, which is critical for the T cell receptor signaling, can eliminate the anti-tumor effect of anti-PD-1 treatment completely by impairing the activation of CD8+ T cells.
GSE103885	8	Gene expression profiling of mouse liver with hepatocyte-specific knockout of STAT5a/STAT5b genes (STAT5ab-KO)	rRNA-depleted RNA isolated from livers of control male and female mice and from male mice with hepatocyte-specific STAT5ab-KO was analyzed by RNA-seq. This study revealed a substantial, albeit incomplete loss of liver sex bias in hepatocyte-specific STAT5a/STAT5b (collectively, STAT5)-deficient mouse liver. Notably, in male liver, many male-biased genes were down regulated in direct association with the loss of STAT5 binding; many female-biased genes, which show low STAT5 binding, were de-repressed, indicating an indirect mechanism for repression by STAT5.
GSE140922	8	The identification of differentially expressed genes in granulosa cell specific Cbfb and Runx2 double knockout mice	The removal of RUNX1/2 and CBFb affects the expression of many genes involved in ovulation and CL formation in mice
GSE162191	12	Sestrins regulate age-induced deterioration of muscle stem cell homeostasis [RNA-seq]	We utilize RNA-Seq to evaluate how loss of Sestrin1,2, a conserved set of stress-inducible proteins, alters the metabolism and quiescent state of young (2-3 months) Muscle Stem Cells (MuSCs) during the regenerative response.
GSE107339	5	Transcriptome Effects of the knockout of Intraflagellar Transport 88 gene in mice Mitral leaflets	The gene Ift88 is a gene critical for primary cilium biogenesis, the objective this study was to determine the transcriptome changes in Mitral leaflets in the absence of the gene.
GSE143475	96	Exploitable, highly context-specific astrocytes	To investigate the functional heterogeneity of astrocytes from a defined brain region, we designed 12 experimental manipulations including Huntington's disease models, pathological challenges, ionic and GPCR signaling alterations, and analyzed the transcriptomic profiles of striatal astrocytes. From the analyses, we have identified context-specific changes of striatal astrocytes.
GSE116852	6	RNA-seq of KMT2D Knockout and KMT2D WT melanoma in mice	Somatic mutations in various epigenetic regulators, including histone methyltransferases KMT2C and KMT2D, have emerged as important cancer-driving events. However, the mechanism of action and therapeutic vulnerability imparted by these mutations remain poorly understood. We identified KMT2D and 8 other epigenetic regulators as potential suppressors to melanoma initiation through an in vivo pooled epigenome-focused RNAi screen.
GSE155614	12	MeRIP-Seq of pancreatic islets in Mettl3flox/flox and islet β cell-specific Mettl3 knockout (β-Mettl3-KO) mice	Purpose: Through mRNA m6A-profiling, we aim to characterize the mRNA m6A changes in pancreatic islets obtained from Mettl3flox/flox and β-Mettl3-KO mice. Methods: Total RNA was extracted using Tripure Isolation Reagent (Roche, Mannheim, Germany) from pancreatic islets of Mettl3flox/flox and β-Mettl3-KO mice at 8 weeks old. A total of 2-3 μg RNAs were pooled from nine Mettl3flox/flox mice and twelve β-Mettl3-KO mice, respectively.
GSE146694	8	KRAS drives immune evasion in a genetic model of pancreatic cancer [bulk RNA-seq]	Immune evasion is a hallmark of KRAS-driven cancers, but underlying mechanism and clinical implications remain unclear.
GSE145430	6	Identifying differentially expressed genes in Zmat3 knockout cells	The goal of the study was to identify genes whose expression is Zmat3 depedent using RNA-seq.
GSE160820	3	Next Generation Sequencing of control and knockout erythroblasts transcriptomes	Purpose: Use next generation sequencing to analyze the cellular pathway change in erythroblasts upon Drosha deletion
GSE156497	2	Single nucleus RNA-seq analysis of the TA muscles from WT and Dmd Exon 51 Knockout mice	Duchenne muscular dystrophy (DMD) is a fatal muscle disorder characterized by cycles of degeneration and regeneration of multinucleated myofibers and pathological activation of a variety of other associated cell types. Here, we describe the creation of a new mouse model of DMD caused by deletion of exon 51 of the dystrophin gene, which represents a prevalent mutation in humans. To understand the transcriptional abnormalities and heterogeneity associated with the nuclei of myofibers, as well as other mononucleated cell types that contribute to DMD disease pathogenesis, we performed single nucleus transcriptomics of skeletal muscle of mice with exon 51 deletion.
GSE156496	6	Transcriptome analysis of the TA muscles from WT and Dmd Exon 51 Knockout mice	Duchenne muscular dystrophy (DMD) is a fatal muscle disorder characterized by cycles of degeneration and regeneration of multinucleated myofibers and pathological activation of a variety of other associated cell types. Here, we describe the creation of a new mouse model of DMD caused by deletion of exon 51 of the dystrophin gene, which represents a prevalent mutation in humans. To understand the transcriptional abnormalities and heterogeneity associated with the nuclei of myofibers, as well as other mononucleated cell types that contribute to DMD disease pathogenesis, we performed single nucleus transcriptomics of skeletal muscle of mice with exon 51 deletion.
GSE156542	12	Loss of TDP-43 in astrocytes leads to motor deficits by triggering A1-like reactive phenotype and tri-glial dysfunctions	The majority of patients with amyotrophic lateral sclerosis (ALS) have abnormal TDP-43 aggregates in the nucleus and/or cytosol of their surviving neurons and glia. Although accumulating evidence indicates that astroglial dysfunctions contribute to motor neuron degeneration in ALS, the normal physiological functions of TDP-43 in astrocytes are largely unknown and whether the loss of astroglial TDP-43 contributes to ALS remains to be clarified.
GSE122045	6	Molecular Characterization of auditory nerve with Versican deficiency	Overall goal of the study is to identify key molecular regulators of auditory nerve development and maintenance
GSE159148	6	Effect of Sdc1 knockout in mouse blast crisis chronic myeloid leukemia (bcCML) cells	Here we report the genomic impact on murine bcCML by Sdc1 loss. We compare bcCML derived from a wildtype cell source to bcCML derived from a Sdc1 knockout mouse. This RNA-seq identifies a number of potential critical regulators of growth, migration, and adhesion.
GSE146425	7	Tcf1 and Lef1 regulate follicular helper T cell function eliciated by vaccination [RNA-Seq]	The goal of this study is to determine the impact of Tcf1 and Lef1 deficiency on T follicular helper (Tfh) cells elicited by protein immunization. We demonstrate that although phenotypic Tcf1/Lef1-deficient Tfh cells were able to develop in response to vaccination, they are functionally impaired. Mechanisc studies reveal the direct regulatory effect by Tcf1 and Lef1 on transcriptome and chromatin accessibility in vaccine-elicited Tfh cells.
GSE154920	30	Transcriptomes of ATG7 Knockout Microglia	Multiple Sclerosis (MS) is a leading cause of incurable progressive disability in young adults caused by inflammation in the central nervous system (CNS) that triggers demyelination, glial cell dysfunction and irreversible neuro-axonal damage1. While considerable progress has been made in treating early inflammatory relapsing-remitting MS, the mechanisms underpinning the progressive stage remain largely unknown.
GSE150220	6	Effects of Pten knockout in dystrophic skeletal muscles of mdx mouse	Analysis of skeletal muscles with specific knockout (KO) of Phosphatase and tensin homolog (Pten) gene in an animal model of DMD (mdx mice). Pten knockout alleviates myofiber degeneration and restores muscle function in mdx mice.
GSE142820	4	RNA-seq for the tissues of GGPPS knockout mice and wild type mice	Protein prenylation has multiple important physiological function, but the evidence has been to be explored. Now we found that eicosanoid metabolism homestasis was broken after GGPPS deletion in neonatal vascular smooth muscles through GGPP prenylation.
GSE158889	12	YAP/TAZ deficiency reprograms macrophage phenotype and improves infarct healing and cardiac function after myocardial infarction	Adverse cardiac remodeling after myocardial infarction (MI) causes structural and functional changes in the heart leading to heart failure. The initial pro-inflammatory response followed by an anti-inflammatory or reparative response post-MI is essential for minimizing the myocardial damage, healing, and scar formation. Bone marrow-derived macrophages (BMDMs) are recruited to the injured myocardium and essential for cardiac repair as they can adopt both pro-inflammatory (M1) or anti-inflammatory/reparative (M2) phenotypes to modulate inflammatory and reparative response, respectively.
GSE152382	192	Expression profiles in multiple tissues of WT and Nrf2-knockout mouse under space filght	To elucidate roles that Nrf2 plays in regulating adaptive responses to the space stress, one month-long space travel and RNA-seq analysis of six Nrf2-KO mice and six wild-type mice were conducted . After 31-days-stay in the ISS, all the flight mice returned safely to Earth. We found that Nrf2 was indeed activated by the space stress in various tissues. The space stress and Nrf2-deficiency brought about changes in gene expression.
GSE133505	19	RNA-Seq of Myf6-knockout versus Wild-type satellite cells	In metazoans, skeletal muscle evolved to contract and produce force.  Recent experimental evidence, however, suggests  that  skeletal muscle has also acquired  endocrine functions and produces a vast array of muscle-derived cytokines  and growth  factors, collectively  called myokines. The mechanisms that regulate myokine production and their effect on the resident stem cell population inskeletal muscle remain unknown.
GSE133465	4	Transcriptional effects of YAP/TAZ knockout in mouse gliomaspheres	We compared the transcriptomes of control and YAP/TAZ knockout gliomaspheres derived from mouse newborn astrocytes transformed with KRAS/shp53. We wanted to evaluate the effects of YAP/TAZ depletion on gliomaspheres transcriptional program.
GSE158657	27	Functional Genomics Identifies Metabolic Vulnerabilities in Pancreatic Cancer [RNA-Seq]	Purpose: Modeling microenvironmental influences in cell culture has been challenging, and technical limitations have hampered the comprehensive study of tumor-specific metabolism in vivo. To systematically interrogate metabolic vulnerabilities in PDA, we employed parallel CRISPR-Cas9 genetic screens using both in vivo and in vitro model systems. Methods: 2D culture collected 3 days after plating grown in DMEM, 10%fbs, 1%p/s.  3D culture collected 3 days after plating grown in DMEM, 10%fbs, 1% p/s, 5% matrigel.  Tumors were collected from orthotopic injections collected at endpoint of experiment.  Results: This work revealed striking overlap of in vivo metabolic dependencies with those in vitro, validating that standard 2D culture conditions are a reliable system for studying cancer metabolism.
GSE141912	12	Transcriptomic profiling of murine Nfe2l2 knockout melanoma cells	The role of Nfe2l2 in established murine melanoma cells was studied by analyzing expression profiles of control and Nfe2l2 knockout melanoma cells, generated by CRISPR/Cas9.
GSE131895	6	RNA analysis of Nr4a1 and Nr4a1-knockout mammary tumor cells from MMTV-PyVT transgenic mice	MMTV-PyVT Mammary tumors were harvested from PyVT-wild-type (WT), PyVT-Nr4a1 knockout (KO)  littermates on a congenic FVB/NJ background,minced and incubated with collagenase type I digestion solution .The digested Mammary tumor cells were collected and maintained in DMEM medium containing 10% FBS for 24 hour.
GSE157621	3	RNA-seq data of PHF8 wild-type and PHF8 knockout TRAMP mouse	RNA-seq analysis were applied to elucidate the transcriptional differences of PHF8 wild-type and PHF8 knockout TRAMP mouse. A total of 2,092 differentially expressed genes (Fold Change > 2, or Fold Change＜0.5; FDR < 0.05) with 623 down- and 1469 up-regulated genes were identifed in Phf8-KO TRAMP mice.
GSE153988	10	Prdm16 deficiency leads to age-dependent cardiac hypertrophy, adverse remodeling, mitochondrial dysfunction, and heart failure	Hypertrophic cardiomyopathy (HCM) is one of the most frequent inherited heart condition and a well-established risk factor for cardiovascular mortality worldwide. Although hypertrophy is traditionally regarded as an adaptive response to increased workload caused by physiological or pathological stress, prolonged hypertrophy can lead to heart failure characterized by impaired systolic function, increased apoptosis, fibrosis, ventricular dilation, and impaired metabolic substrate flexibility.
GSE157815	3	Transcription landscape of adipose tissue changes in response to telomerase knockout in mesenchymal progenitors	We generated mice with telomerase (TERT) gene knock-out (KO) that undergo premature telomere shortening in adipose stromal cells expressing Pdgfra or Pdgfrb. Stromal vascular cells were isolated from inguinal adipose tissue of Pdgfra-Cre; TERT fl/fl mice (Sample name A_SAT), Pdgfrb-Cre; TERT fl/fl mice (Sample name KO_SAT), and of control TERT WT mice (Sample name PBS_SAT).
GSE157624	28	Next generation sequencing of CD11b+ cells from female and male Wildtype and Cystatin C knockout mice with experimental allergic encephalomyelitis (EAE)	Rationale: Towards clarifying the role of the cysteine protease inhibitor, Cystatin C (CysC), whose expression is augmented in the brains of multiple sclerosis (MS) patients and C57BL/6J mice with experimental allergic encephalomyelitis (EAE - a model of MS), we discovered that CysC plays a detrimental function in MOG35-55-induced EAE, but only in female animals. Female CysC null mice displayed significantly lower clinical signs of disease compared to wildtype (WT) littermates that was associated with reduced interleukin-6 production and lower expression of key proteins (CD80, CD86, MHC II, LC3A/B) involved in antigen processing, presentation and co-stimulation in antigen presenting cells (APCs), specifically CD11b+ cells.
GSE147415	2	Single-cell RNA-seq of embryonic day 17 (E17) mouse skin epithelial cells with or without Mettl3 knockout	We employed single-cell RNA sequencing to examine effects on steady-state RNA levels induced by METTL3 depletion in mouse skin epithelium during morphogenesis. YFP+ epidermal cells were isolated from E17 embryos with Mettl3 fl/+, Rosa16-YFP fl/+, K14Cre (Ctrl) and Mettl3 fl/fl, Rosa16-YFP fl/+, K14Cre (cKO) genotypes through FACS. Trypan blue staining indicates the ratio of living cells in each sample is >90%.
GSE157233	30	Comparative gene expression profiling in livers of A1cf-transgenic, A1cf-knockout, and wild-type mice	Rationale: RNA binding protein Apobec1 Complementation Factor (A1CF) regulates posttranscriptional ApoB mRNA editing but the range of RNA targets and long-term impact of altered A1CF expression on liver function are unknown. Objective: We studied hepatocyte-specific A1cf transgenic (A1cf +/Tg), A1cf+/Tg Apobec1– /– and A1cf –/– mice fed chow or high fat/high fructose diets using RNA-Seq, RNA-CLIP Seq and tissue microarrays from human hepatocellular cancer (HCC).
GSE154266	6	Bulk RNA-sequencing analysis of isogenic murine Kras/p53 (KP) Brg1 wildtype cells versus Brg1 knockout (KPB) cells	The goals of this experiment is to identify transcriptomic changes upon loss of Brg1 in lung adenocarcinoma cells.
GSE144658	8	BAF250a Gdf9-cre knockout mice GV and MII stage oocyte transcriptome compared with control mice.	GV and MII stage oocyte transcriptome of control and BAF250aGKO mice.
GSE157121	16	Transcriptional response of thyroid to iodide in wild-type and Nrf2 knockout mice	Analysis of differentially expressed mRNAs indicated that iodide overload upregulated inflammatory-, immune-, fibrosis- and oxidative stress-related pathways, including the Nrf2 pathway. Nrf2 KO mice showed a more pronounced inflammatory-autoimmune transcriptional response to iodide
GSE151119	12	RNA-seq analysis of HSF1 knockout on LiCl treatment	Heat shock transcription factor 1(HSF1) is an important transcription factor which regulates the expression of a wide array of genes including heat shock proteins and oncogenes. Here, we report that HSF1 as a target of WNT/β-catenin signaling, regulates parts of target genes of WNT/β-catenin signaling. To explore the biological relevance of HSF1 activation to WNT/β-catenin signaling, we profiled gene expression of wild type mouse embryonic fibroblasts (WT MEF) and HSF1 knock out MEF (HSF1 KO MEF) before and after lithium chloride (LiCl) treatment which was a potent GSK3β inhibitor and increased the expression of β-catenin.
GSE155863	4	Strand-specific RNA-seq analysis after Ssrp1 knockout in embryonic stem cells	Endogenous retrovirus MERVL is specifically expressed in a minority of embryonic stem cells. To determine the restrain mechanism of MERVL, we knocked out Ssrp1 and analyzed the effect on the expression of transposable elements and coding genes.
GSE141788	8	RNA-seq analysis after Ssrp1 knockout or Usp7 depletion in embryonic stem cells	Endogenous retrovirus MERVL is specifically expressed in a minority of embryonic stem cells. To determine the restrain mechanism of MERVL, we knocked out Ssrp1 and analyzed the effect on the expression of transposable elements and coding genes. Ssrp1 further interacts with ubiquitin specific protease Usp7. We knocked down usp7 and analyzed the effect on the expression of MERVL. It turns out the deletion of ssrp1 or usp7 would lead to upregulation of MERVL.
GSE147559	4	Single cell RNA-seq of Cop1 knockout and wildtype microglia	The realization in the last decade that dysregulated microglia are intimately involved in Alzheimer’s disease (AD) pathogenesis has been a major advance. The precise mechanisms controlling pathogenic programs of microglia gene expression, however, remain poorly understood. The transcription factor (TF) c/EBPß is highly expressed in microglia and is known to regulate expression of pro-inflammatory genes.
GSE139564	6	CRISPR/Cas9 mediated intersectional knockout of GSK3b in D2 receptor expressing mPFC neurons reveals contributions to emotional regulation	Comparison of ribosome associated RNA between mPFC D2 neurons that lack Gsk3β with Controls
GSE126127	18	Comprehensive transcriptome analysis of the brain in CNS-specific PRMT1 knockout mice.	Arginine methylation is a common post-translation modification that is catalyzed by protein arginine methyltransferases (PRMTs). We generated the central nervous system-specific PRMT1 deficient (PRMT1-CKO) mice by Cre-loxP recombination system. Recently, we have discovered that PRMT1 is essential for development of CNS, and it is especially crucial for oligodendrocyte lineage progression and the subsequent myelination.
GSE146916	23	A role for alternative splicing in circadian control of insulin secretion and glucose homeostasis	We report the discovery of circadian clock-controlled alterantive pre-mRNA splicing in pancreatic beta cells and its role in insulin secretion. We performed RNA-sequencing in CRISPR-CAS9 edited Clock and Bmal1 knockout BetaTC6 cells and used differential mRNA expression and splicing analysis to identify and validate transcriptional and alternative splicing targets of the circadian clock regulating insulin secretion.
GSE143281	16	Transcriptome changes in mouse retina after conditional knockout of UXT	Ubiquitously expressed transcript (UXT), a small chaperone-like protein, is widely expressed in diverse human and mouse tissues and is more abundant in retina and kidney. Here, we investigated changes after  conditional knockout of UXT in mouse retina at  molecular, morphological and functional aspects.
GSE155629	9	Gene expressions of Tfap2a/b heterozygous knockout in mouse brain	The aim of this study is to compare the transcriptome profiles between wild type (WT, B6N in this case), with mutant mice (Tfap2a+/- or Tfap2b+/- respectively)
GSE150250	10	Gonadal white adipose tissue gene expression changes in response to adipose-specific Med19 knockout	We report the gene expression changes in the gWAT tissue of adipose-specific Med19 knockout mice
GSE141842	12	Change in translation efficiency in mouse eyes at P0.5 by RNG140 knockout	RNG140 is an RNA-binding protein that increases in expression during eye lens differentiation and is involved in lens formation. However, the relevance of RNG140-mediated translational regulation to differentiation is not well understood. RNG140-mediated translational regulation operates in the mouse eye, where RNG140 knockout increased the translation of long mRNAs. mRNAs involved in lens differentiation, such as crystallin mRNAs, are short, and can escape translational inhibition by RNG140 and be translated in differentiating lenses.
GSE155298	8	MKL1 global knockout effect on transcriptome of bone marrow derived macropahges	The goal of this project is to determine the critical genes and pathways regulated by MKL1 in bone marrow differentiated macrophages in mice.
GSE149647	24	The effect of active YAP in neonatal heart of Xinβ knockout mice	Purpose: The goals of this study are 1) to define the transcriptome changes in the heart in the absence of intercalated-disc protein Xinβ, and 2) to define the effect of active Yap overexpression on the cardiac transcriptome in the absence of Xinβ. Methods: Total RNA from heart apex of postnatal day (P) 7.5 Xinβ KO or WT mice were profiled by bulk-RNA sequencing (50bp SE). Total RNA from heart apex of P7.5 Xinβ KO or WT mice injected with AAV9 carrying cardiac troponin T promoter driven active Yap (S127A) or GFP (control) at P1 were profiled by bulk-RNA sequencing (150bp PE).
